node_id,node_type,label
MLII,feature,MLII
https://sensorwf.org/ontologies/ecg#MLII,ontologyclass,//sensorwf.org/ontologies/ecg#MLII
V1,feature,V1
d_MLII,feature,d_MLII
d_V1,feature,d_V1
dt_sample,feature,dt_sample
rm_MLII,feature,rm_MLII
rm_V1,feature,rm_V1
rs_MLII,feature,rs_MLII
rs_V1,feature,rs_V1
sk_MLII,feature,sk_MLII
sk_V1,feature,sk_V1
ku_MLII,feature,ku_MLII
ku_V1,feature,ku_V1
zcr_MLII,feature,zcr_MLII
zcr_V1,feature,zcr_V1
se_MLII,feature,se_MLII
se_V1,feature,se_V1
df_MLII,feature,df_MLII
df_V1,feature,df_V1
