node_id,node_type,label
p_mbar,feature,p_mbar
https://sensorwf.org/ontologies/climate#AtmosphericPressure,ontologyclass,//sensorwf.org/ontologies/climate#AtmosphericPressure
T_degC,feature,T_degC
https://sensorwf.org/ontologies/climate#Temperature,ontologyclass,//sensorwf.org/ontologies/climate#Temperature
Tpot_K,feature,Tpot_K
https://sensorwf.org/ontologies/climate#PotentialTemperature,ontologyclass,//sensorwf.org/ontologies/climate#PotentialTemperature
Tdew_degC,feature,Tdew_degC
https://sensorwf.org/ontologies/climate#DewPointTemperature,ontologyclass,//sensorwf.org/ontologies/climate#DewPointTemperature
rh_pct,feature,rh_pct
https://sensorwf.org/ontologies/climate#RelativeHumidity,ontologyclass,//sensorwf.org/ontologies/climate#RelativeHumidity
VPmax_mbar,feature,VPmax_mbar
https://sensorwf.org/ontologies/climate#SaturationVapourPressure,ontologyclass,//sensorwf.org/ontologies/climate#SaturationVapourPressure
VPact_mbar,feature,VPact_mbar
https://sensorwf.org/ontologies/climate#ActualVapourPressure,ontologyclass,//sensorwf.org/ontologies/climate#ActualVapourPressure
VPdef_mbar,feature,VPdef_mbar
https://sensorwf.org/ontologies/climate#VapourPressureDeficit,ontologyclass,//sensorwf.org/ontologies/climate#VapourPressureDeficit
sh_gkg,feature,sh_gkg
https://sensorwf.org/ontologies/climate#SpecificHumidity,ontologyclass,//sensorwf.org/ontologies/climate#SpecificHumidity
H2OC_mmolmol,feature,H2OC_mmolmol
https://sensorwf.org/ontologies/climate#WaterVapourConcentration,ontologyclass,//sensorwf.org/ontologies/climate#WaterVapourConcentration
rho_gm3,feature,rho_gm3
https://sensorwf.org/ontologies/climate#AirDensity,ontologyclass,//sensorwf.org/ontologies/climate#AirDensity
wv_ms,feature,wv_ms
https://sensorwf.org/ontologies/climate#WindSpeed,ontologyclass,//sensorwf.org/ontologies/climate#WindSpeed
max_wv_ms,feature,max_wv_ms
https://sensorwf.org/ontologies/climate#MaxWindSpeed,ontologyclass,//sensorwf.org/ontologies/climate#MaxWindSpeed
wd_deg,feature,wd_deg
https://sensorwf.org/ontologies/climate#WindDirection,ontologyclass,//sensorwf.org/ontologies/climate#WindDirection
d_p_mbar,feature,d_p_mbar
d_T_degC,feature,d_T_degC
d_Tpot_K,feature,d_Tpot_K
d_Tdew_degC,feature,d_Tdew_degC
d_rh_pct,feature,d_rh_pct
d_VPmax_mbar,feature,d_VPmax_mbar
d_VPact_mbar,feature,d_VPact_mbar
d_VPdef_mbar,feature,d_VPdef_mbar
d_sh_gkg,feature,d_sh_gkg
d_H2OC_mmolmol,feature,d_H2OC_mmolmol
d_rho_gm3,feature,d_rho_gm3
d_wv_ms,feature,d_wv_ms
d_max_wv_ms,feature,d_max_wv_ms
d_wd_deg,feature,d_wd_deg
dt_sample,feature,dt_sample
rm_p_mbar,feature,rm_p_mbar
rm_T_degC,feature,rm_T_degC
rm_Tpot_K,feature,rm_Tpot_K
rm_Tdew_degC,feature,rm_Tdew_degC
rm_rh_pct,feature,rm_rh_pct
rm_VPmax_mbar,feature,rm_VPmax_mbar
rm_VPact_mbar,feature,rm_VPact_mbar
rm_VPdef_mbar,feature,rm_VPdef_mbar
rm_sh_gkg,feature,rm_sh_gkg
rm_H2OC_mmolmol,feature,rm_H2OC_mmolmol
rm_rho_gm3,feature,rm_rho_gm3
rm_wv_ms,feature,rm_wv_ms
rm_max_wv_ms,feature,rm_max_wv_ms
rm_wd_deg,feature,rm_wd_deg
rs_p_mbar,feature,rs_p_mbar
rs_T_degC,feature,rs_T_degC
rs_Tpot_K,feature,rs_Tpot_K
rs_Tdew_degC,feature,rs_Tdew_degC
rs_rh_pct,feature,rs_rh_pct
rs_VPmax_mbar,feature,rs_VPmax_mbar
rs_VPact_mbar,feature,rs_VPact_mbar
rs_VPdef_mbar,feature,rs_VPdef_mbar
rs_sh_gkg,feature,rs_sh_gkg
