tag,tier,variant,description,anomaly_type,start_idx,end_idx,severity,affected_channels
clim_sensor_drift,easy,1,Slow polynomial drift (sensor aging / fouling),clim_sensor_drift,18940,22067,low,['T_degC']
clim_sensor_drift,easy,2,Slow polynomial drift (sensor aging / fouling),clim_sensor_drift,12234,15361,low,['rh_pct']
clim_sensor_drift,medium,1,Slow polynomial drift (sensor aging / fouling),clim_sensor_drift,10248,20151,medium,['max_wv_ms']
clim_sensor_drift,medium,2,Slow polynomial drift (sensor aging / fouling),clim_sensor_drift,11388,21291,medium,['rh_pct']
clim_sensor_drift,hard,1,Slow polynomial drift (sensor aging / fouling),clim_sensor_drift,5770,21928,high,['T_degC']
clim_sensor_drift,hard,2,Slow polynomial drift (sensor aging / fouling),clim_sensor_drift,9018,25176,high,['wv_ms']
clim_stuck_sensor,easy,1,Channel frozen at pre-fault value (sensor failure),clim_stuck_sensor,17984,21111,low,['wv_ms']
clim_stuck_sensor,easy,2,Channel frozen at pre-fault value (sensor failure),clim_stuck_sensor,13190,16317,low,['max_wv_ms']
clim_stuck_sensor,medium,1,Channel frozen at pre-fault value (sensor failure),clim_stuck_sensor,3649,13552,medium,['wv_ms']
clim_stuck_sensor,medium,2,Channel frozen at pre-fault value (sensor failure),clim_stuck_sensor,15378,25281,medium,['T_degC']
clim_stuck_sensor,hard,1,Channel frozen at pre-fault value (sensor failure),clim_stuck_sensor,4630,20788,high,['rh_pct']
clim_stuck_sensor,hard,2,Channel frozen at pre-fault value (sensor failure),clim_stuck_sensor,7186,23344,high,['rho_gm3']
clim_spike_burst,easy,1,Burst of amplitude spikes (electrical interference),clim_spike_burst,9517,12644,low,['rho_gm3']
clim_spike_burst,easy,2,Burst of amplitude spikes (electrical interference),clim_spike_burst,16007,19134,low,['rh_pct']
clim_spike_burst,medium,1,Burst of amplitude spikes (electrical interference),clim_spike_burst,8860,18763,medium,['rho_gm3']
clim_spike_burst,medium,2,Burst of amplitude spikes (electrical interference),clim_spike_burst,3412,13315,medium,['rho_gm3']
clim_spike_burst,hard,1,Burst of amplitude spikes (electrical interference),clim_spike_burst,9078,25236,high,['T_degC']
clim_spike_burst,hard,2,Burst of amplitude spikes (electrical interference),clim_spike_burst,8656,24814,high,['rh_pct']
clim_dropout_zero,easy,1,Channel drops to zero (power loss to sensor),clim_dropout_zero,7966,11093,low,['T_degC']
clim_dropout_zero,easy,2,Channel drops to zero (power loss to sensor),clim_dropout_zero,7157,10284,low,['rh_pct']
clim_dropout_zero,medium,1,Channel drops to zero (power loss to sensor),clim_dropout_zero,5700,15603,medium,['max_wv_ms']
clim_dropout_zero,medium,2,Channel drops to zero (power loss to sensor),clim_dropout_zero,7038,16941,medium,['wv_ms']
clim_dropout_zero,hard,1,Channel drops to zero (power loss to sensor),clim_dropout_zero,9320,25478,high,['rh_pct']
clim_dropout_zero,hard,2,Channel drops to zero (power loss to sensor),clim_dropout_zero,5630,21788,high,['wv_ms']
clim_scale_error,easy,1,Multiplicative calibration shift (recalibration error),clim_scale_error,20989,24116,low,['rho_gm3']
clim_scale_error,easy,2,Multiplicative calibration shift (recalibration error),clim_scale_error,11458,14585,low,['max_wv_ms']
clim_scale_error,medium,1,Multiplicative calibration shift (recalibration error),clim_scale_error,7158,17061,medium,['p_mbar']
clim_scale_error,medium,2,Multiplicative calibration shift (recalibration error),clim_scale_error,15553,25456,medium,['wv_ms']
clim_scale_error,hard,1,Multiplicative calibration shift (recalibration error),clim_scale_error,7988,24146,high,['T_degC']
clim_scale_error,hard,2,Multiplicative calibration shift (recalibration error),clim_scale_error,3527,19685,high,['rho_gm3']
clim_sign_flip,easy,1,Channel sign inversion (wiring reversal),clim_sign_flip,22864,25991,low,['max_wv_ms']
clim_sign_flip,easy,2,Channel sign inversion (wiring reversal),clim_sign_flip,18265,21392,low,['max_wv_ms']
clim_sign_flip,medium,1,Channel sign inversion (wiring reversal),clim_sign_flip,5888,15791,medium,['rh_pct']
clim_sign_flip,medium,2,Channel sign inversion (wiring reversal),clim_sign_flip,5016,14919,medium,['rho_gm3']
clim_sign_flip,hard,1,Channel sign inversion (wiring reversal),clim_sign_flip,8246,24404,high,['wv_ms']
clim_sign_flip,hard,2,Channel sign inversion (wiring reversal),clim_sign_flip,5653,21811,high,['rho_gm3']
