tag,tier,variant,description,anomaly_type,start_idx,end_idx,severity,affected_channels
clim_sensor_drift,easy,1,Slow polynomial drift (sensor aging / fouling),clim_sensor_drift,18941,22068,low,['T_degC']
clim_sensor_drift,easy,2,Slow polynomial drift (sensor aging / fouling),clim_sensor_drift,12235,15362,low,['rh_pct']
clim_sensor_drift,medium,1,Slow polynomial drift (sensor aging / fouling),clim_sensor_drift,10249,20152,medium,['max_wv_ms']
clim_sensor_drift,medium,2,Slow polynomial drift (sensor aging / fouling),clim_sensor_drift,11389,21292,medium,['rh_pct']
clim_sensor_drift,hard,1,Slow polynomial drift (sensor aging / fouling),clim_sensor_drift,5771,21930,high,['T_degC']
clim_sensor_drift,hard,2,Slow polynomial drift (sensor aging / fouling),clim_sensor_drift,9018,25177,high,['wv_ms']
clim_stuck_sensor,easy,1,Channel frozen at pre-fault value (sensor failure),clim_stuck_sensor,17985,21112,low,['wv_ms']
clim_stuck_sensor,easy,2,Channel frozen at pre-fault value (sensor failure),clim_stuck_sensor,13191,16318,low,['max_wv_ms']
clim_stuck_sensor,medium,1,Channel frozen at pre-fault value (sensor failure),clim_stuck_sensor,3650,13553,medium,['wv_ms']
clim_stuck_sensor,medium,2,Channel frozen at pre-fault value (sensor failure),clim_stuck_sensor,15379,25282,medium,['T_degC']
clim_stuck_sensor,hard,1,Channel frozen at pre-fault value (sensor failure),clim_stuck_sensor,4631,20790,high,['rh_pct']
clim_stuck_sensor,hard,2,Channel frozen at pre-fault value (sensor failure),clim_stuck_sensor,7186,23345,high,['rho_gm3']
clim_spike_burst,easy,1,Burst of amplitude spikes (electrical interference),clim_spike_burst,9518,12645,low,['rho_gm3']
clim_spike_burst,easy,2,Burst of amplitude spikes (electrical interference),clim_spike_burst,16008,19135,low,['rh_pct']
clim_spike_burst,medium,1,Burst of amplitude spikes (electrical interference),clim_spike_burst,8861,18764,medium,['rho_gm3']
clim_spike_burst,medium,2,Burst of amplitude spikes (electrical interference),clim_spike_burst,3413,13316,medium,['rho_gm3']
clim_spike_burst,hard,1,Burst of amplitude spikes (electrical interference),clim_spike_burst,9078,25237,high,['T_degC']
clim_spike_burst,hard,2,Burst of amplitude spikes (electrical interference),clim_spike_burst,8656,24815,high,['rh_pct']
clim_dropout_zero,easy,1,Channel drops to zero (power loss to sensor),clim_dropout_zero,7967,11094,low,['T_degC']
clim_dropout_zero,easy,2,Channel drops to zero (power loss to sensor),clim_dropout_zero,7158,10285,low,['rh_pct']
clim_dropout_zero,medium,1,Channel drops to zero (power loss to sensor),clim_dropout_zero,5701,15604,medium,['max_wv_ms']
clim_dropout_zero,medium,2,Channel drops to zero (power loss to sensor),clim_dropout_zero,7039,16942,medium,['wv_ms']
clim_dropout_zero,hard,1,Channel drops to zero (power loss to sensor),clim_dropout_zero,9320,25479,high,['rh_pct']
clim_dropout_zero,hard,2,Channel drops to zero (power loss to sensor),clim_dropout_zero,5630,21789,high,['wv_ms']
clim_scale_error,easy,1,Multiplicative calibration shift (recalibration error),clim_scale_error,20990,24117,low,['rho_gm3']
clim_scale_error,easy,2,Multiplicative calibration shift (recalibration error),clim_scale_error,11459,14586,low,['max_wv_ms']
clim_scale_error,medium,1,Multiplicative calibration shift (recalibration error),clim_scale_error,7159,17062,medium,['p_mbar']
clim_scale_error,medium,2,Multiplicative calibration shift (recalibration error),clim_scale_error,15554,25457,medium,['wv_ms']
clim_scale_error,hard,1,Multiplicative calibration shift (recalibration error),clim_scale_error,7988,24147,high,['T_degC']
clim_scale_error,hard,2,Multiplicative calibration shift (recalibration error),clim_scale_error,3528,19687,high,['rho_gm3']
clim_sign_flip,easy,1,Channel sign inversion (wiring reversal),clim_sign_flip,22865,25992,low,['max_wv_ms']
clim_sign_flip,easy,2,Channel sign inversion (wiring reversal),clim_sign_flip,18266,21393,low,['max_wv_ms']
clim_sign_flip,medium,1,Channel sign inversion (wiring reversal),clim_sign_flip,5889,15792,medium,['rh_pct']
clim_sign_flip,medium,2,Channel sign inversion (wiring reversal),clim_sign_flip,5017,14920,medium,['rho_gm3']
clim_sign_flip,hard,1,Channel sign inversion (wiring reversal),clim_sign_flip,8247,24406,high,['wv_ms']
clim_sign_flip,hard,2,Channel sign inversion (wiring reversal),clim_sign_flip,5654,21813,high,['rho_gm3']
