type,tier,target,variants
A1_accel_packet_dropout,easy,adcs,2
A1_accel_packet_dropout,hard,adcs,2
A1_accel_packet_dropout,medium,adcs,2
A2_gyro_clipping,easy,adcs,2
A2_gyro_clipping,hard,adcs,2
A2_gyro_clipping,medium,adcs,2
A3_mag_field_inversion,easy,adcs,2
A3_mag_field_inversion,hard,adcs,2
A3_mag_field_inversion,medium,adcs,2
A4_imu_correlation_break,easy,adcs,2
A4_imu_correlation_break,hard,adcs,2
A4_imu_correlation_break,medium,adcs,2
A5_sun_sensor_blinding,easy,adcs,2
A5_sun_sensor_blinding,hard,adcs,2
A5_sun_sensor_blinding,medium,adcs,2
C1_packet_gap_jitter,easy,cdh,2
C1_packet_gap_jitter,hard,cdh,2
C1_packet_gap_jitter,medium,cdh,2
C2_rssi_fade,easy,cdh,2
C2_rssi_fade,hard,cdh,2
C2_rssi_fade,medium,cdh,2
C3_frame_error_avalanche,easy,cdh,2
C3_frame_error_avalanche,hard,cdh,2
C3_frame_error_avalanche,medium,cdh,2
COMPOUND_adcs_power_fault,easy,cdh+adcs,2
COMPOUND_adcs_power_fault,hard,cdh+adcs,2
COMPOUND_adcs_power_fault,medium,cdh+adcs,2
COMPOUND_thermal_power_fault,easy,cdh,2
COMPOUND_thermal_power_fault,hard,cdh,2
COMPOUND_thermal_power_fault,medium,cdh,2
P1_bus_sag_recovery,easy,cdh,2
P1_bus_sag_recovery,hard,cdh,2
P1_bus_sag_recovery,medium,cdh,2
P2_switching_noise_burst,easy,cdh,2
P2_switching_noise_burst,hard,cdh,2
P2_switching_noise_burst,medium,cdh,2
P3_rail_latchup,easy,cdh,2
P3_rail_latchup,hard,cdh,2
P3_rail_latchup,medium,cdh,2
T1_obdh_runaway,easy,cdh,2
T1_obdh_runaway,hard,cdh,2
T1_obdh_runaway,medium,cdh,2
T2_board_thermal_shock,easy,cdh,2
T2_board_thermal_shock,hard,cdh,2
T2_board_thermal_shock,medium,cdh,2
T3_thermal_bias_divergence,easy,cdh,2
T3_thermal_bias_divergence,hard,cdh,2
T3_thermal_bias_divergence,medium,cdh,2
W1_wheel_runaway,easy,adcs,2
W1_wheel_runaway,hard,adcs,2
W1_wheel_runaway,medium,adcs,2
W2_wheel_stiction_stop,easy,adcs,2
W2_wheel_stiction_stop,hard,adcs,2
W2_wheel_stiction_stop,medium,adcs,2
