node_id,node_type,label
MLII,feature,MLII
https://sensorwf.org/ontologies/ecg#MLII,ontologyclass,//sensorwf.org/ontologies/ecg#MLII
V2,feature,V2
d_MLII,feature,d_MLII
d_V2,feature,d_V2
dt_sample,feature,dt_sample
rm_MLII,feature,rm_MLII
rm_V2,feature,rm_V2
rs_MLII,feature,rs_MLII
rs_V2,feature,rs_V2
sk_MLII,feature,sk_MLII
sk_V2,feature,sk_V2
ku_MLII,feature,ku_MLII
ku_V2,feature,ku_V2
zcr_MLII,feature,zcr_MLII
zcr_V2,feature,zcr_V2
se_MLII,feature,se_MLII
se_V2,feature,se_V2
df_MLII,feature,df_MLII
df_V2,feature,df_V2
