tag,tier,variant,description,anomaly_type,start_idx,end_idx,severity,affected_channels
clim_sensor_drift,easy,1,Slow polynomial drift (sensor aging / fouling),clim_sensor_drift,19046,22190,low,['T_degC']
clim_sensor_drift,easy,2,Slow polynomial drift (sensor aging / fouling),clim_sensor_drift,12302,15446,low,['rh_pct']
clim_sensor_drift,medium,1,Slow polynomial drift (sensor aging / fouling),clim_sensor_drift,10306,20264,medium,['max_wv_ms']
clim_sensor_drift,medium,2,Slow polynomial drift (sensor aging / fouling),clim_sensor_drift,11452,21410,medium,['rh_pct']
clim_sensor_drift,hard,1,Slow polynomial drift (sensor aging / fouling),clim_sensor_drift,5803,22051,high,['T_degC']
clim_sensor_drift,hard,2,Slow polynomial drift (sensor aging / fouling),clim_sensor_drift,9069,25317,high,['wv_ms']
clim_stuck_sensor,easy,1,Channel frozen at pre-fault value (sensor failure),clim_stuck_sensor,18084,21228,low,['wv_ms']
clim_stuck_sensor,easy,2,Channel frozen at pre-fault value (sensor failure),clim_stuck_sensor,13264,16408,low,['max_wv_ms']
clim_stuck_sensor,medium,1,Channel frozen at pre-fault value (sensor failure),clim_stuck_sensor,3670,13628,medium,['wv_ms']
clim_stuck_sensor,medium,2,Channel frozen at pre-fault value (sensor failure),clim_stuck_sensor,15464,25422,medium,['T_degC']
clim_stuck_sensor,hard,1,Channel frozen at pre-fault value (sensor failure),clim_stuck_sensor,4656,20904,high,['rh_pct']
clim_stuck_sensor,hard,2,Channel frozen at pre-fault value (sensor failure),clim_stuck_sensor,7226,23474,high,['rho_gm3']
clim_spike_burst,easy,1,Burst of amplitude spikes (electrical interference),clim_spike_burst,9571,12715,low,['rho_gm3']
clim_spike_burst,easy,2,Burst of amplitude spikes (electrical interference),clim_spike_burst,16097,19241,low,['rh_pct']
clim_spike_burst,medium,1,Burst of amplitude spikes (electrical interference),clim_spike_burst,8910,18868,medium,['rho_gm3']
clim_spike_burst,medium,2,Burst of amplitude spikes (electrical interference),clim_spike_burst,3432,13390,medium,['rho_gm3']
clim_spike_burst,hard,1,Burst of amplitude spikes (electrical interference),clim_spike_burst,9128,25376,high,['T_degC']
clim_spike_burst,hard,2,Burst of amplitude spikes (electrical interference),clim_spike_burst,8704,24952,high,['rh_pct']
clim_dropout_zero,easy,1,Channel drops to zero (power loss to sensor),clim_dropout_zero,8012,11156,low,['T_degC']
clim_dropout_zero,easy,2,Channel drops to zero (power loss to sensor),clim_dropout_zero,7198,10342,low,['rh_pct']
clim_dropout_zero,medium,1,Channel drops to zero (power loss to sensor),clim_dropout_zero,5733,15691,medium,['max_wv_ms']
clim_dropout_zero,medium,2,Channel drops to zero (power loss to sensor),clim_dropout_zero,7078,17036,medium,['wv_ms']
clim_dropout_zero,hard,1,Channel drops to zero (power loss to sensor),clim_dropout_zero,9372,25620,high,['rh_pct']
clim_dropout_zero,hard,2,Channel drops to zero (power loss to sensor),clim_dropout_zero,5661,21909,high,['wv_ms']
clim_scale_error,easy,1,Multiplicative calibration shift (recalibration error),clim_scale_error,21106,24250,low,['rho_gm3']
clim_scale_error,easy,2,Multiplicative calibration shift (recalibration error),clim_scale_error,11523,14667,low,['max_wv_ms']
clim_scale_error,medium,1,Multiplicative calibration shift (recalibration error),clim_scale_error,7198,17156,medium,['p_mbar']
clim_scale_error,medium,2,Multiplicative calibration shift (recalibration error),clim_scale_error,15640,25598,medium,['wv_ms']
clim_scale_error,hard,1,Multiplicative calibration shift (recalibration error),clim_scale_error,8033,24281,high,['T_degC']
clim_scale_error,hard,2,Multiplicative calibration shift (recalibration error),clim_scale_error,3547,19795,high,['rho_gm3']
clim_sign_flip,easy,1,Channel sign inversion (wiring reversal),clim_sign_flip,22992,26136,low,['max_wv_ms']
clim_sign_flip,easy,2,Channel sign inversion (wiring reversal),clim_sign_flip,18367,21511,low,['max_wv_ms']
clim_sign_flip,medium,1,Channel sign inversion (wiring reversal),clim_sign_flip,5922,15880,medium,['rh_pct']
clim_sign_flip,medium,2,Channel sign inversion (wiring reversal),clim_sign_flip,5045,15003,medium,['rho_gm3']
clim_sign_flip,hard,1,Channel sign inversion (wiring reversal),clim_sign_flip,8292,24540,high,['wv_ms']
clim_sign_flip,hard,2,Channel sign inversion (wiring reversal),clim_sign_flip,5685,21933,high,['rho_gm3']
